time,heatCapacitor_T,switch_Controll
5.84,40.52429959853538,0.0
5.86,40.668124659743,0.0
5.88,40.81156974542779,0.0
5.9,40.9546450618966,0.0
5.92,41.09735060914949,0.0
5.94,41.23967197955142,0.0
5.96,41.38161674779553,0.0
5.98,41.523187432971326,0.0
6.0,41.66438403507874,0.0
6.02,41.80520655411783,0.0
6.04,41.94565499008854,0.0
6.06,42.08572934299093,0.0
6.08,42.22546468660698,0.0
6.1,42.36485007237792,0.0
6.12,42.50386800102831,0.0
6.14,42.64251847255804,0.0
6.16,42.78080148696722,0.0
6.18,42.91871704425574,0.0
6.2,43.05626514442372,0.0
6.22,43.19344578747109,0.0
6.24,43.33025897339786,0.0
6.26,43.46670470220403,0.0
6.28,43.60278297388959,0.0
6.3,43.738493788454605,0.0
6.32,43.87383714589896,0.0
6.34,44.00881304622271,0.0
6.36,44.14342148942592,0.0
6.36503,44.177217683913796,0.0
6.36503,44.177217683913796,0.0
6.38,44.17854756558671,1.0
6.4,44.13042168264576,1.0
6.42,44.08246431832589,1.0
6.44,44.03457060347381,1.0
6.46,43.98674053808952,1.0
6.48,43.938974122172965,1.0
6.5,43.8912713557242,1.0
6.52,43.84363223874328,1.0
6.54,43.7960567712301,1.0
6.56,43.748544953184705,1.0
6.58,43.701140846299495,1.0
6.6,43.65386817482636,1.0
6.62,43.60667934399436,1.0
6.64,43.5595743538035,1.0
6.66,43.512553204253834,1.0
6.67042,43.488088404719235,1.0
6.67042,43.488088404719235,1.0
6.68,43.51389825522824,0.0
6.7,43.64935637492778,0.0
6.72,43.784407039295274,0.0
6.74,43.91921923598761,0.0
6.76,44.05379296500473,0.0
6.78,44.188128226346635,0.0
6.8,44.322155223253105,0.0
6.82,44.45574526396217,0.0
6.84,44.589020659936295,0.0
6.86,44.72198141117542,0.0
6.88,44.854627517679546,0.0
6.9,44.98695897944879,0.0
6.92,45.11891237928131,0.0
6.94,45.250524397595086,0.0
6.96,45.38179988099097,0.0
6.98,45.51273882946896,0.0
7.0,45.64334124302911,0.0
7.02,45.77360071871112,0.0
7.04,45.903515470270634,0.0
7.06,46.033090885553065,0.0
7.08,46.16232696455842,0.0
7.1,46.29122370728663,0.0
7.12,46.41978111373777,0.0
7.14,46.54799918391183,0.0
7.16,46.67587791780875,0.0
7.18,46.80342632446781,0.0
7.2,46.93070442254657,0.0
7.22,47.05765086152638,0.0
7.24,47.18426564140714,0.0
7.26,47.31054876218889,0.0
